hour,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEA1,DEA2,DEA3,DEA4,DEA5,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEE0,DEF0,DEG0
2575,1.030909879,1.196786316,1.196786316,1.030909879,1.030909879,1.030909879,1.161799955,1.161799955,1.030909879,1.030909879,1.030909879,1.060336357,1.060336357,1.24307806,1.122636836,1.039460629,1.161799955,1.133767001,1.060336357,1.122636836,1.122636836,1.122636836,1.24307806,1.039460629,1.039460629,1.039460629,1.133767001,1.039460629,1.039460629,1.196786316,1.039460629,1.039460629,1.060336357,1.060336357,1.060336357,1.060336357,1.122636836,0.994826302
2576,0.960808007,1.143916237,1.143916237,0.960808007,0.960808007,0.960808007,1.142908899,1.142908899,0.960808007,0.960808007,0.960808007,1.001861926,1.001861926,1.185260476,1.109683334,1.024611191,1.142908899,1.032301472,1.001861926,1.109683334,1.109683334,1.109683334,1.185260476,1.024611191,1.024611191,1.024611191,1.032301472,1.024611191,1.024611191,1.143916237,1.024611191,1.024611191,1.001861926,1.001861926,1.001861926,1.001861926,1.109683334,0.906742723
2577,0.903077054,1.067014306,1.067014306,0.903077054,0.903077054,0.903077054,1.138186135,1.138186135,0.903077054,0.903077054,0.903077054,0.912201131,0.912201131,1.117806628,1.092411998,1.019661379,1.138186135,0.904366674,0.912201131,1.092411998,1.092411998,1.092411998,1.117806628,1.019661379,1.019661379,1.019661379,0.904366674,1.019661379,1.019661379,1.067014306,1.019661379,1.019661379,0.912201131,0.912201131,0.912201131,0.912201131,1.092411998,0.761663888
2578,0.907200694,1.014144227,1.014144227,0.907200694,0.907200694,0.907200694,1.138186135,1.138186135,0.907200694,0.907200694,0.907200694,0.838133518,0.838133518,1.055170912,1.075140662,1.019661379,1.138186135,0.749962608,0.838133518,1.075140662,1.075140662,1.075140662,1.055170912,1.019661379,1.019661379,1.019661379,0.749962608,1.019661379,1.019661379,1.014144227,1.019661379,1.019661379,0.838133518,0.838133518,0.838133518,0.838133518,1.075140662,0.678761696
2579,0.857717019,0.946855037,0.946855037,0.857717019,0.857717019,0.857717019,1.133463371,1.133463371,0.857717019,0.857717019,0.857717019,0.756269313,0.756269313,0.992535195,1.06218716,0.975113066,1.133463371,0.679377892,0.756269313,1.06218716,1.06218716,1.06218716,0.992535195,0.975113066,0.975113066,0.975113066,0.679377892,0.975113066,0.975113066,0.946855037,0.975113066,0.975113066,0.756269313,0.756269313,0.756269313,0.756269313,1.06218716,0.523320086
2580,0.808233345,0.874759476,0.874759476,0.808233345,0.808233345,0.808233345,1.114572315,1.114572315,0.808233345,0.808233345,0.808233345,0.693896587,0.693896587,0.982898931,1.04059799,0.970163253,1.114572315,0.608793176,0.693896587,1.04059799,1.04059799,1.04059799,0.982898931,0.970163253,0.970163253,0.970163253,0.608793176,0.970163253,0.970163253,0.874759476,0.970163253,0.970163253,0.693896587,0.693896587,0.693896587,0.693896587,1.04059799,0.507775925
2581,0.758749671,0.865146734,0.865146734,0.758749671,0.758749671,0.758749671,1.100404023,1.100404023,0.758749671,0.758749671,0.758749671,0.654913632,0.654913632,1.002171459,1.001737485,0.950364003,1.100404023,0.586735452,0.654913632,1.001737485,1.001737485,1.001737485,1.002171459,0.950364003,0.950364003,0.950364003,0.586735452,0.950364003,0.950364003,0.865146734,0.950364003,0.950364003,0.654913632,0.654913632,0.654913632,0.654913632,1.001737485,0.544045634
2582,0.758749671,0.821889398,0.821889398,0.758749671,0.758749671,0.758749671,1.095681259,1.095681259,0.758749671,0.758749671,0.758749671,0.658811928,0.658811928,0.997353327,0.919698639,0.945414191,1.095681259,0.53820846,0.658811928,0.919698639,0.919698639,0.919698639,0.997353327,0.945414191,0.945414191,0.945414191,0.53820846,0.945414191,0.945414191,0.821889398,0.945414191,0.945414191,0.658811928,0.658811928,0.658811928,0.658811928,0.919698639,0.544045634
2583,0.76699695,0.826695768,0.826695768,0.76699695,0.76699695,0.76699695,1.095681259,1.095681259,0.76699695,0.76699695,0.76699695,0.623727269,0.623727269,0.997353327,0.898109469,0.920665128,1.095681259,0.520562281,0.623727269,0.898109469,0.898109469,0.898109469,0.997353327,0.920665128,0.920665128,0.920665128,0.520562281,0.920665128,0.920665128,0.826695768,0.920665128,0.920665128,0.623727269,0.623727269,0.623727269,0.623727269,0.898109469,0.554408408
2584,0.775244229,0.821889398,0.821889398,0.775244229,0.775244229,0.775244229,1.072067438,1.072067438,0.775244229,0.775244229,0.775244229,0.623727269,0.623727269,0.973262667,0.880838133,0.930564753,1.072067438,0.524973825,0.623727269,0.880838133,0.880838133,0.880838133,0.973262667,0.930564753,0.930564753,0.930564753,0.524973825,0.930564753,0.930564753,0.821889398,0.930564753,0.930564753,0.623727269,0.623727269,0.623727269,0.623727269,0.880838133,0.575133956
